Id_SNVeg,n_total,n_sig,prop_sig,parque,escala,mes,variable
HydroRipVeg,599,0,0,aiguestortes,3,5,pr
RipF,223,0,0,aiguestortes,3,5,pr
RockScreeVeg,58338,0,0,aiguestortes,3,5,pr
Shrub,528,0,0,aiguestortes,3,5,pr
TempDecF,913,0,0,aiguestortes,3,5,pr
WaterSurf,4420,0,0,aiguestortes,3,5,pr
AlpConF,47156,0,0,aiguestortes,3,6,pr
AlpScrGr,89985,0,0,aiguestortes,3,6,pr
Grass,650,0,0,aiguestortes,3,6,pr
HydroRipVeg,599,0,0,aiguestortes,3,6,pr
RipF,223,0,0,aiguestortes,3,6,pr
RockScreeVeg,59389,0,0,aiguestortes,3,6,pr
Shrub,528,0,0,aiguestortes,3,6,pr
TempDecF,913,0,0,aiguestortes,3,6,pr
WaterSurf,4420,0,0,aiguestortes,3,6,pr
AlpConF,47156,0,0,aiguestortes,3,7,pr
AlpScrGr,90194,0,0,aiguestortes,3,7,pr
Grass,650,0,0,aiguestortes,3,7,pr
HydroRipVeg,599,0,0,aiguestortes,3,7,pr
RipF,223,0,0,aiguestortes,3,7,pr
RockScreeVeg,59993,0,0,aiguestortes,3,7,pr
Shrub,528,0,0,aiguestortes,3,7,pr
TempDecF,913,0,0,aiguestortes,3,7,pr
WaterSurf,4420,0,0,aiguestortes,3,7,pr
AlpConF,47156,11645,24.69,aiguestortes,3,8,pr
AlpScrGr,90902,25540,28.1,aiguestortes,3,8,pr
Grass,650,461,70.92,aiguestortes,3,8,pr
HydroRipVeg,599,259,43.24,aiguestortes,3,8,pr
RipF,223,39,17.49,aiguestortes,3,8,pr
RockScreeVeg,61591,18918,30.72,aiguestortes,3,8,pr
Shrub,528,210,39.77,aiguestortes,3,8,pr
TempDecF,913,68,7.45,aiguestortes,3,8,pr
WaterSurf,4420,760,17.19,aiguestortes,3,8,pr
AlpConF,47133,51,0.11,aiguestortes,3,9,pr
AlpScrGr,91031,1069,1.17,aiguestortes,3,9,pr
Grass,650,112,17.23,aiguestortes,3,9,pr
HydroRipVeg,599,23,3.84,aiguestortes,3,9,pr
RipF,223,0,0,aiguestortes,3,9,pr
RockScreeVeg,61732,6,0.01,aiguestortes,3,9,pr
Shrub,528,1,0.19,aiguestortes,3,9,pr
TempDecF,913,0,0,aiguestortes,3,9,pr
WaterSurf,4423,5,0.11,aiguestortes,3,9,pr
AlpConF,47131,0,0,aiguestortes,3,10,pr
AlpScrGr,90476,0,0,aiguestortes,3,10,pr
Grass,650,0,0,aiguestortes,3,10,pr
HydroRipVeg,599,0,0,aiguestortes,3,10,pr
RipF,223,0,0,aiguestortes,3,10,pr
RockScreeVeg,60534,0,0,aiguestortes,3,10,pr
Shrub,528,0,0,aiguestortes,3,10,pr
TempDecF,913,0,0,aiguestortes,3,10,pr
WaterSurf,4420,0,0,aiguestortes,3,10,pr
AlpConF,47073,0,0,aiguestortes,3,11,pr
AlpScrGr,89988,0,0,aiguestortes,3,11,pr
Grass,648,0,0,aiguestortes,3,11,pr
HydroRipVeg,599,0,0,aiguestortes,3,11,pr
RipF,223,0,0,aiguestortes,3,11,pr
RockScreeVeg,59406,0,0,aiguestortes,3,11,pr
Shrub,528,0,0,aiguestortes,3,11,pr
TempDecF,913,0,0,aiguestortes,3,11,pr
WaterSurf,4420,0,0,aiguestortes,3,11,pr
AlpConF,46858,0,0,aiguestortes,3,12,pr
AlpScrGr,89999,0,0,aiguestortes,3,12,pr
Grass,643,0,0,aiguestortes,3,12,pr
HydroRipVeg,599,0,0,aiguestortes,3,12,pr
RipF,223,0,0,aiguestortes,3,12,pr
RockScreeVeg,59577,0,0,aiguestortes,3,12,pr
Shrub,528,0,0,aiguestortes,3,12,pr
TempDecF,904,0,0,aiguestortes,3,12,pr
WaterSurf,4422,0,0,aiguestortes,3,12,pr
AlpConF,47119,0,0,aiguestortes,6,1,pr
AlpScrGr,90179,0,0,aiguestortes,6,1,pr
Grass,649,0,0,aiguestortes,6,1,pr
HydroRipVeg,599,0,0,aiguestortes,6,1,pr
RipF,223,0,0,aiguestortes,6,1,pr
RockScreeVeg,60305,0,0,aiguestortes,6,1,pr
Shrub,528,0,0,aiguestortes,6,1,pr
TempDecF,913,0,0,aiguestortes,6,1,pr
WaterSurf,4432,0,0,aiguestortes,6,1,pr
