"Id_SNVeg","n_total","n_sig","prop_sig","parque","escala","mes"
"ArtSurf",247,0,0,"daimiel",6,7
"Crop",2273,0,0,"daimiel",6,7
"Dehesa",2601,0,0,"daimiel",6,7
"Grass",8172,0,0,"daimiel",6,7
"HaloVeg",2543,0,0,"daimiel",6,7
"HydroRipVeg",16350,0,0,"daimiel",6,7
"MedSclF",623,0,0,"daimiel",6,7
"Reforestation",25,0,0,"daimiel",6,7
"RipF",1501,0,0,"daimiel",6,7
"WaterSurf",8869,0,0,"daimiel",6,7
"ArtSurf",247,0,0,"daimiel",6,8
"Crop",2273,0,0,"daimiel",6,8
"Dehesa",2601,0,0,"daimiel",6,8
"Grass",8172,0,0,"daimiel",6,8
"HaloVeg",2543,0,0,"daimiel",6,8
"HydroRipVeg",16350,0,0,"daimiel",6,8
"MedSclF",623,0,0,"daimiel",6,8
"Reforestation",25,0,0,"daimiel",6,8
"RipF",1501,0,0,"daimiel",6,8
"WaterSurf",8869,0,0,"daimiel",6,8
"ArtSurf",247,0,0,"daimiel",6,9
"Crop",2273,0,0,"daimiel",6,9
"Dehesa",2601,0,0,"daimiel",6,9
"Grass",8172,0,0,"daimiel",6,9
"HaloVeg",2543,0,0,"daimiel",6,9
"HydroRipVeg",16350,0,0,"daimiel",6,9
"MedSclF",623,0,0,"daimiel",6,9
"Reforestation",25,0,0,"daimiel",6,9
"RipF",1501,0,0,"daimiel",6,9
"WaterSurf",8869,0,0,"daimiel",6,9
"ArtSurf",247,0,0,"daimiel",6,10
"Crop",2273,0,0,"daimiel",6,10
"Dehesa",2601,0,0,"daimiel",6,10
"Grass",8172,0,0,"daimiel",6,10
"HaloVeg",2543,0,0,"daimiel",6,10
"HydroRipVeg",16350,0,0,"daimiel",6,10
"MedSclF",623,0,0,"daimiel",6,10
"Reforestation",25,0,0,"daimiel",6,10
"RipF",1501,0,0,"daimiel",6,10
"WaterSurf",8869,0,0,"daimiel",6,10
"ArtSurf",247,0,0,"daimiel",6,11
"Crop",2273,0,0,"daimiel",6,11
"Dehesa",2601,0,0,"daimiel",6,11
"Grass",8172,0,0,"daimiel",6,11
"HaloVeg",2543,0,0,"daimiel",6,11
"HydroRipVeg",16350,0,0,"daimiel",6,11
"MedSclF",623,0,0,"daimiel",6,11
"Reforestation",25,0,0,"daimiel",6,11
"RipF",1501,0,0,"daimiel",6,11
"WaterSurf",8869,0,0,"daimiel",6,11
"ArtSurf",247,0,0,"daimiel",6,12
"Crop",2273,0,0,"daimiel",6,12
"Dehesa",2601,0,0,"daimiel",6,12
"Grass",8172,0,0,"daimiel",6,12
"HaloVeg",2543,0,0,"daimiel",6,12
"HydroRipVeg",16350,0,0,"daimiel",6,12
"MedSclF",623,0,0,"daimiel",6,12
"Reforestation",25,0,0,"daimiel",6,12
"RipF",1501,0,0,"daimiel",6,12
"WaterSurf",8869,0,0,"daimiel",6,12
"ArtSurf",247,0,0,"daimiel",9,1
"Crop",2273,0,0,"daimiel",9,1
"Dehesa",2601,0,0,"daimiel",9,1
"Grass",8172,0,0,"daimiel",9,1
"HaloVeg",2543,0,0,"daimiel",9,1
"HydroRipVeg",16350,0,0,"daimiel",9,1
"MedSclF",623,0,0,"daimiel",9,1
"Reforestation",25,0,0,"daimiel",9,1
"RipF",1501,0,0,"daimiel",9,1
"WaterSurf",8869,0,0,"daimiel",9,1
"ArtSurf",247,0,0,"daimiel",9,2
"Crop",2273,0,0,"daimiel",9,2
"Dehesa",2601,0,0,"daimiel",9,2
"Grass",8172,0,0,"daimiel",9,2
"HaloVeg",2543,0,0,"daimiel",9,2
"HydroRipVeg",16350,0,0,"daimiel",9,2
"MedSclF",623,0,0,"daimiel",9,2
"Reforestation",25,0,0,"daimiel",9,2
"RipF",1501,0,0,"daimiel",9,2
